Title,ASIN,Url
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfbXRmOjIwMDAxMDUwNTg0NjMzMTo6MDo6&url=%2FAmazonBasics-Pre-sharpened-Wood-Cased-Pencils%2Fdp%2FB071JM699P%2Fref%3Dsr_1_11_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Outus International World Flags Pencils with Erasers - American, France, China, India - Around the World Pencils - Back to School Supplies for Schools - First Day, 4th of July (120 Pcs)",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfbXRmOjMwMDY1MzI4Nzg1MDkwMjo6MDo6&url=%2FInternational-American-Supplies-Veterans-Independence%2Fdp%2FB0BW3W7G84%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Teling 36 Pcs Small Ballpoint Pen Mini Pens Bulk 4 Inch Short Tiny Small Writing Tool Black Ink for Pocket Notebook Notepads School Office(Gold,Classic Style)",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfbXRmOjMwMDAzNjk2NjU0ODIwMjo6MDo6&url=%2FTeling-Ballpoint-Notebook-Signature-Notepads%2Fdp%2FB0CCN4ZTVB%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"R&DLanci Stocking Stuffers for Kids,12 Colors Rainbow Pencils,Jumbo Colored Pencils for Adult Coloring Sketching,Cute Drawing Kit Fun Pencils Christmas Gift for Adults Kids Students,Pre-sharpened",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfbXRmOjMwMDM5Njc5Nzc0NDEwMjo6MDo6&url=%2FDLanci-Stocking-Sketching-Christmas-Pre-sharpened%2Fdp%2FB0D9N3MBPZ%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Four Candies 3PCS 1.3mm Mechanical Pencil Set with Case, Metal Heavy Duty Carpenter Pencils with 48 Refill(Red,Black,Yellow) 3Eraser, 12Eraser Refill, Weatherproof Body Outdoor Woodworking Marking",,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDI3MzM2MTY4NzAzNDYxOjE3NDU5Nzc2NDE6c3BfbXRmOjMwMDE2NjE2OTM4NTIwMjo6MDo6&url=%2FFour-Candies-Mechanical-Weatherproof-Woodworking%2Fdp%2FB0CKMQ2H48%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q%26dib_tag%3Dse%26keywords%3DPencil%26qid%3D1745977641%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Ticonderoga Wood-Cased Pencils, Pre-Sharpened, 2 HB Soft, Yellow, 72 Count",B079STQWBM,https://www.amazon.com/Ticonderoga-Pre-Sharpened-Pencil-Eraser-Pack/dp/B079STQWBM/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-17
"Ticonderoga Wood-Cased Pencils, Pre-Sharpened, #2 HB Soft, Yellow, 30 Count",B006CSPZK4,https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-13830/dp/B006CSPZK4/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-16
"Ticonderoga Wood-Cased Pencils, Pre-Sharpened, 2 HB Soft, Yellow, 240 Count",B07RPC47LN,https://www.amazon.com/Ticonderoga-Wood-Cased-Graphite-Pre-Sharpened-14634/dp/B07RPC47LN/ref=sr_1_18?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-18
"Ticonderoga Wood-Cased Pencils, Unsharpened, 2 HB Soft, Yellow, 12 Count",B002EEYT34,https://www.amazon.com/Dixon%C2%AE-Ticonderoga%C2%AE-Pencils-Yellow-Barrel/dp/B002EEYT34/ref=sr_1_19?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-19
"BIC Xtra-Life Mechanical Pencil, Clear Barrel, Medium Point (0.7mm), 10-Count, Packaging May Vary",B00260X7F2,https://www.amazon.com/BIC-Xtra-Life-Mechanical-Pencil-10-Count/dp/B00260X7F2/ref=sr_1_20?dib=eyJ2IjoiMSJ9.ipF6Nb_jyPvG8pTjlLapGBTa63gFmVMBNNJNBgJPqDWeduIXZvqDUHbsG7bpFkIV8geqv9k8T2Sb43mNcn0m57kP9-r5eeqDbwXmFMOndGILKUlo7-o95bkJ_HHZhqV3oGCsR8Pd0UHNUVbvB3fATcQfReCSLf22Q39knrjXurVhxs5vxSB0W8LikbtEtfBUPbdOafHFPYsUDC1d7LIt-OHOrVuUtani9ddEuvrpifpoP7EYiLL7_qXnfjJH6XeYgfF1vW5s_XPU4MCw9moTHhBxU5fZ1cwXOqKMTu8AcDI.AUk9loDgaGvQNtvrDO8QrW-zcVbx8CpuMjNXd1eMK2Q&dib_tag=se&keywords=Pencil&qid=1745977641&sr=8-20
