No,baths,bedrooms,beds,guest,hosted_by,name,price,price_discount,reviews,stars,title,url
163,1,1,1,3,Nia,"#1101b,Tangguban perahu mtn View Tera Residence",236300,NULL,172,4.83,"Entire rental unit in Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/30236277?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3ZsCkHS2xnl2wma&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
164,0,1,1,2,Lamerica,Ulin by Lamerica Villas,1430000,NULL,10,5,"Entire villa in Kecamatan Cilengkrang, Indonesia",https://www.airbnb.com/rooms/972009906828667188?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3FpdxzlAWSacaTe&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
165,1,1,1,2,Dya,Modern Apartment in Gateway Pasteur /Wifi/Netflix,271400,NULL,211,4.78,"Entire rental unit in Cicendo, Indonesia",https://www.airbnb.com/rooms/24050977?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3orFtf_AstaCtR6&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
166,2,2,5,10,Davin,Royal Penthouse Jacuzzi 2BR | Art Deco | near Dago,1388706,1735882,246,4.85,"Entire loft in Bandung, Indonesia",https://www.airbnb.com/rooms/29063793?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3rLmtSw3LBieqdF&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
167,1,2,2,4,Kozystay,Savya by Kozystay | 2BR | Strategic | Bandung,1000000,NULL,30,4.73,"Entire rental unit in Kecamatan Lengkong, Indonesia",https://www.airbnb.com/rooms/1175714973977255295?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3NIzc7ZhKAB0gQf&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
168,1,2,5,7,Steffan,2 BR Staycation Suite | Gateway Pasteur | TA 0903,533800,NULL,55,4.91,"Entire rental unit in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/687369796064125355?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3je1Edsaqhu6nEQ&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
169,1.5,2,2,4,Rivandi Hilman,El Royale Apartment Bandung,484000,NULL,99,4.9,"Entire rental unit in Kecamatan Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/43559879?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3CltVRf8g6UaEgV&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
170,3,4,5,12,Saskia,4Bdroom Vila CasaBoscha w/Netflix 10min to PVJmall,1250000,NULL,17,4.94,"Entire home in Kecamatan Sukajadi, Indonesia",https://www.airbnb.com/rooms/1271297054674411620?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3UEyGOHDI9YUMHU&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
171,2,2,4,7,Lyd,Sunset Villa near Park Zoo,582000,NULL,19,4.79,"Tiny home in Kecamatan Parongpong, Indonesia",https://www.airbnb.com/rooms/1277222754998394818?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3bMvVx30CHxXjET&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
172,1,1,1,3,Aries,"OneBedroom IrisGarden, Netflix, w. Mountain View",720000,948772,24,4.92,"Entire home in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/807151840183666188?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3HBN8Z2TyM2I1W8&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
173,1,2,4,4,Santoso,Ciput's Den | Best Loc - Fast WiFi - Free Parking,380700,423000,57,4.96,"Entire home in Kecamatan Sukajadi, Indonesia",https://www.airbnb.com/rooms/1153624723197943158?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741299874_P3R1bA0KdUtf5wyb&previous_page_section_name=1000&federated_search_id=6face455-6dc3-4e64-8f5c-ab50c759ab96
174,3,4,5,8,Januar,Addostays - Mori Machiya,3660000,NULL,15,4.93,"Entire home in Kecamatan Parongpong, Indonesia",https://www.airbnb.com/rooms/1112593679300937573?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P37JvEkI5c6xzzuH&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
175,3,4,8,9,Rita,Ishmael House Near ITB/Unpad in the Middle of the City,1120000,NULL,38,4.92,"Entire home in Kecamatan Coblong, Indonesia",https://www.airbnb.com/rooms/885396356769729558?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3iboVe1lRKQvVlK&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
176,1,1,2,4,Andy,"K&K RESIDENCE.... COZY, HOMEY, STRATEGIC",333000,NULL,316,4.91,"Entire rental unit in Cidadap, Indonesia",https://www.airbnb.com/rooms/29491633?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3wOa1aJzauxgAj2&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
177,1,3,3,5,Farmut,Cozy Mozy 2BR Apartment -  Parahyangan Residence,470000,NULL,3,5,"Entire rental unit in Kecamatan Cidadap, Indonesia",https://www.airbnb.com/rooms/1354686578382575654?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3NLp0CBu3fMmp-S&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
178,2,3,3,6,Sastra,Braga City Walk 3BR Apartment - Homy & Spacious,1220000,NULL,291,4.75,"Entire rental unit in Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/18342222?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3HTg0OoErsIw390&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
179,1,2,2,4,Andry,2BR Designer Apt w/ amazing views,300000,NULL,92,4.82,"Entire condo in Cidadap, Indonesia",https://www.airbnb.com/rooms/23798534?search_mode=regular_search&adults=1&check_in=2025-03-10&check_out=2025-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3s9rBGVAZeqXK_f&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
180,1,1,1,3,Nia,"#1105B, mountain & city view",251600,NULL,20,4.9,"Entire rental unit in Kecamatan Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/1020028683055935617?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3k86FaZqfN0cPDd&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
181,2,2,7,10,Davin,Grande Penthouse Jacuzzi 2BR | Art Deco |Renovated,1604000,NULL,323,4.84,"Entire loft in Cidadap, Indonesia",https://www.airbnb.com/rooms/33796998?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3IbxXjiw4M3YbqP&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
182,1,1,1,3,Nia,The sun rise apt suit 1202B,238000,NULL,230,4.85,"Entire rental unit in Sumur Bandung, Indonesia",https://www.airbnb.com/rooms/33387977?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3eGDdfYVCxxmnoS&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
183,4,5,9,16+,Teddy,Cottonwood Villa Luxury Nilaya Dago - BBQ Pingpong,5596800,NULL,7,5,"Entire home in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/1127902344912472564?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3TIgZxw_M9jLoA7&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
184,6,6,16,16+,Falya,Baning-Lantana Villa | 6 BR | Swimming Pool,3600000,NULL,1,NULL,"Entire villa in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/1312336923956910496?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P30BZxd_0K5cKgSX&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
185,1,2,3,6,Steffan,Airy 2 BR+ | Sudirman Suites Apartment | RW 1106,374000,NULL,71,4.86,"Entire rental unit in Kecamatan Andir, Indonesia",https://www.airbnb.com/rooms/869117248343917546?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P37Q6bfVoOgcives&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
186,2,3,5,10,Teddy,Cottonwood Cabin Villa A Triniti,6016560,NULL,10,5,"Entire cabin in Kecamatan Parongpong, Indonesia",https://www.airbnb.com/rooms/1127966086498235268?search_mode=regular_search&adults=1&check_in=2025-03-27&check_out=2025-04-01&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3fmSeoQqaYNIdhR&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
187,3,3,3,12,YoureAt,youre•at Shizuoka 3BR Loft w/ Japanese Soaking Tub,2108633,2369250,12,4.83,"Entire rental unit in Kecamatan Cidadap, Indonesia",https://www.airbnb.com/rooms/1264336120568451708?search_mode=regular_search&adults=1&check_in=2025-03-10&check_out=2025-03-15&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3B7oIlVju8_3KeL&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
188,2,2,3,5,Faisal,Janis Huis @ Dago Suites,670000,NULL,276,4.89,"Entire rental unit in Coblong, Indonesia",https://www.airbnb.com/rooms/10932373?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3kX_hh4BtyZsS59&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
189,4,5,5,10,Wahyu,Koselig Bandung Family Villa 5BR Rooftop View BBQ,3700000,NULL,150,4.99,"Entire villa in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/42886588?search_mode=regular_search&adults=1&check_in=2025-03-17&check_out=2025-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3G5HCmiTtuwLAH6&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
190,2.5,4,5,7,Aries,Hoz villa - 4BR Modern House with Netflix,900000,998991,41,4.85,"Entire home in Kecamatan Parongpong, Indonesia",https://www.airbnb.com/rooms/1016291666651967754?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300012_P3xFPC438BdK1zKZ&previous_page_section_name=1000&federated_search_id=dc33f5b7-593a-4316-a2a4-3eaca3cbe221
191,1,1,1,4,Davin,New Zen 1 BR Landmark Residence | Paskal 23,660000,NULL,12,5,"Entire rental unit in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/1302959905851092249?search_mode=regular_search&adults=1&check_in=2025-03-14&check_out=2025-03-19&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P34FsZ7hxRoWXfWg&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
192,1,1,3,5,Steffan,Airy 1 BR | Sudirman Suites Apartment | RW 2108,316200,NULL,37,4.89,"Entire rental unit in Kecamatan Andir, Indonesia",https://www.airbnb.com/rooms/964422381448995818?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3934xvQq5Tiijp_&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
193,2,2,5,8,Perry,"House of Flowers - Amazing View, Netflix, BBQ",800000,1198773,281,4.88,"Entire villa in Kecamatan Cimenyan, Indonesia",https://www.airbnb.com/rooms/40542730?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3qInawZk-SfO75Q&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
194,2,4,7,8,Kozystay,Bhumi by Kozystay | 4BR | Heated Pool | Paskal,1746000,NULL,30,4.93,"Entire rental unit in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/1044490404676587590?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3MYqjq3jHMDEYeJ&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
195,6,10,14,16+,Rosihan,MONTRII HOUSE - Mid Century Modern Home,5400000,NULL,37,4.92,"Entire villa in Kecamatan Parongpong, Indonesia",https://www.airbnb.com/rooms/557006969442168688?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3SeXcVbIO_j6POp&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
196,3,2,7,9,Benjamin Jesse,The Banyu House | 2 Nights 15% Disc | Bandung Kota,2315400,2724000,112,4.95,Entire home in Indonesia,https://www.airbnb.com/rooms/53539419?search_mode=regular_search&adults=1&check_in=2025-03-12&check_out=2025-03-17&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3WNBwW5zRQpX6-w&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
197,3,4,7,10,Esther,Green & Spacious - Green Grace Cottage,1500000,NULL,273,4.93,"Entire cottage in Cidadap, Indonesia",https://www.airbnb.com/rooms/27922503?search_mode=regular_search&adults=1&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P34DqeG_43O8xryL&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
198,3,4,6,15,YoureAt,youre•at Okinawa / 4BR / 20min plus ke Lembang Zoo,2517143,2828250,16,5,"Entire rental unit in Kecamatan Cidadap, Indonesia",https://www.airbnb.com/rooms/1041845466926119779?search_mode=regular_search&adults=1&check_in=2025-03-17&check_out=2025-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P30O8k3HDBa1gdXL&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
199,3,4,7,15,Nitra,"""Cipaku Rumah Villa""",2420000,NULL,295,4.96,"Entire villa in Bandung, Indonesia",https://www.airbnb.com/rooms/17773568?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P34vOCpoRiPxQ4-d&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
200,1,1,1,2,Kozystay,Sarwa by Kozystay | 1BR | Heated Pool | Paskal,520000,NULL,17,4.76,"Entire rental unit in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/1167833412965361097?search_mode=regular_search&adults=1&check_in=2025-03-12&check_out=2025-03-17&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3nRXZLDMgSC2XME&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
201,1.5,2,3,6,Hendra,Coast Stay 2 BR Apartment Gateway Pasteur Bandung,505000,NULL,66,4.94,"Entire condo in Kecamatan Cicendo, Indonesia",https://www.airbnb.com/rooms/976596420693719608?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3g9MYz4os8B0DGv&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
202,3,3,5,6,Adam,Villa Sajodo [Bandung Get Away with Valley View],779000,NULL,114,4.87,"Entire villa in Bandung, Indonesia",https://www.airbnb.com/rooms/53549153?search_mode=regular_search&adults=1&check_in=2025-03-07&check_out=2025-03-12&children=0&infants=0&pets=0&source_impression_id=p3_1741300132_P3X0ztWoaql8tKV1&previous_page_section_name=1000&federated_search_id=371a0042-9e3a-4a8b-b631-9e6350b8c6b4
